,fecha,salario medio (€),pais
418,2003,28.847 €,Francia
419,2004,29.608 €,Francia
420,2005,30.521 €,Francia
421,2006,31.369 €,Francia
422,2007,32.413 €,Francia
423,2008,33.580 €,Francia
424,2009,34.132 €,Francia
425,2010,34.693 €,Francia
426,2011,35.489 €,Francia
427,2012,36.143 €,Francia
428,2013,36.616 €,Francia
429,2014,37.235 €,Francia
430,2015,37.975 €,Francia
431,2016,37.875 €,Francia
432,2017,38.052 €,Francia
433,2018,38.646 €,Francia
434,2019,39.107 €,Francia
435,2020,37.660 €,Francia
436,2021,39.429 €,Francia
437,2022,41.540 €,Francia
438,2000,15.459 €,Grecia
439,2001,15.715 €,Grecia
440,2002,17.359 €,Grecia
441,2003,19.240 €,Grecia
442,2004,21.446 €,Grecia
443,2005,22.012 €,Grecia
444,2006,23.800 €,Grecia
445,2007,23.935 €,Grecia
446,2008,23.849 €,Grecia
447,2009,24.569 €,Grecia
448,2010,24.156 €,Grecia
449,2011,23.929 €,Grecia
450,2012,23.309 €,Grecia
451,2013,21.101 €,Grecia
452,2014,21.322 €,Grecia
453,2015,20.494 €,Grecia
454,2016,20.033 €,Grecia
455,2017,19.913 €,Grecia
456,2018,19.924 €,Grecia
457,2019,20.243 €,Grecia
458,2020,18.834 €,Grecia
459,2021,19.614 €,Grecia
460,2022,19.912 €,Grecia
461,2000,4.177 €,Hungría
462,2001,4.905 €,Hungría
463,2002,5.863 €,Hungría
464,2003,6.134 €,Hungría
465,2004,6.736 €,Hungría
466,2005,7.321 €,Hungría
467,2006,7.513 €,Hungría
468,2007,8.578 €,Hungría
469,2008,9.288 €,Hungría
470,2009,8.691 €,Hungría
471,2010,9.119 €,Hungría
472,2011,9.470 €,Hungría
473,2012,9.819 €,Hungría
474,2013,9.886 €,Hungría
475,2014,9.891 €,Hungría
476,2015,10.234 €,Hungría
477,2016,10.735 €,Hungría
478,2017,12.066 €,Hungría
479,2018,12.913 €,Hungría
480,2019,14.121 €,Hungría
481,2020,14.360 €,Hungría
482,2021,15.150 €,Hungría
483,2022,16.172 €,Hungría
484,2000,28.924 €,Irlanda
485,2001,31.675 €,Irlanda
486,2002,32.976 €,Irlanda
487,2003,34.888 €,Irlanda
488,2004,36.750 €,Irlanda
489,2005,38.065 €,Irlanda
490,2006,39.337 €,Irlanda
491,2007,40.985 €,Irlanda
492,2008,42.783 €,Irlanda
493,2009,41.737 €,Irlanda
494,2010,41.981 €,Irlanda
495,2011,41.721 €,Irlanda
496,2012,42.517 €,Irlanda
497,2013,43.046 €,Irlanda
498,2014,43.371 €,Irlanda
499,2015,43.733 €,Irlanda
500,2016,44.713 €,Irlanda
501,2017,45.504 €,Irlanda
502,2018,47.227 €,Irlanda
503,2019,48.858 €,Irlanda
504,2020,50.771 €,Irlanda
505,2021,52.135 €,Irlanda
506,2022,54.649 €,Irlanda
507,2000,37.366 €,Islandia
508,2001,34.043 €,Islandia
509,2002,36.482 €,Islandia
510,2003,38.777 €,Islandia
511,2004,41.313 €,Islandia
512,2005,52.921 €,Islandia
513,2006,52.370 €,Islandia
514,2007,57.925 €,Islandia
515,2008,37.878 €,Islandia
516,2009,29.397 €,Islandia
517,2010,32.466 €,Islandia
518,2011,34.866 €,Islandia
519,2012,38.076 €,Islandia
520,2013,41.015 €,Islandia
521,2014,46.339 €,Islandia
522,2015,52.413 €,Islandia
523,2016,62.071 €,Islandia
524,2017,70.383 €,Islandia
525,2018,68.121 €,Islandia
526,2019,65.909 €,Islandia
527,2020,61.634 €,Islandia
528,2021,68.980 €,Islandia
529,2022,77.050 €,Islandia
530,2000,25.506 €,Israel
531,2001,28.131 €,Israel
532,2002,23.526 €,Israel
533,2003,19.520 €,Israel
534,2004,18.545 €,Israel
535,2005,18.472 €,Israel
536,2006,18.893 €,Israel
537,2007,20.076 €,Israel
538,2008,22.685 €,Israel
539,2009,21.956 €,Israel
540,2010,24.583 €,Israel
541,2011,25.194 €,Israel
542,2012,25.951 €,Israel
543,2013,26.834 €,Israel
544,2014,28.398 €,Israel
545,2015,32.403 €,Israel
546,2016,33.798 €,Israel
547,2017,36.418 €,Israel
548,2018,36.722 €,Israel
549,2019,39.073 €,Israel
550,2020,41.055 €,Israel
551,2021,44.033 €,Israel
552,2022,48.835 €,Israel
553,2000,21.550 €,Italia
554,2001,22.182 €,Italia
555,2002,22.640 €,Italia
556,2003,23.113 €,Italia
557,2004,23.723 €,Italia
558,2005,24.450 €,Italia
559,2006,25.241 €,Italia
560,2007,25.805 €,Italia
561,2008,26.845 €,Italia
562,2009,27.419 €,Italia
563,2010,28.243 €,Italia
564,2011,28.872 €,Italia
565,2012,29.440 €,Italia
566,2013,29.983 €,Italia
567,2014,30.347 €,Italia
568,2015,30.550 €,Italia
569,2016,30.619 €,Italia
570,2017,30.696 €,Italia
571,2018,30.962 €,Italia
572,2019,31.369 €,Italia
573,2020,32.216 €,Italia
574,2021,32.029 €,Italia
575,2022,33.855 €,Italia
576,2000,50.137 €,Japón
577,2001,46.427 €,Japón
578,2002,42.143 €,Japón
579,2003,37.444 €,Japón
580,2004,36.611 €,Japón
581,2005,36.382 €,Japón
582,2006,34.099 €,Japón
583,2007,30.936 €,Japón
584,2008,32.692 €,Japón
585,2009,37.042 €,Japón
586,2010,41.062 €,Japón
587,2011,43.452 €,Japón
588,2012,47.745 €,Japón
589,2013,37.294 €,Japón
590,2014,35.439 €,Japón
591,2015,37.852 €,Japón
592,2016,42.751 €,Japón
593,2017,40.607 €,Japón
594,2018,39.930 €,Japón
595,2019,42.798 €,Japón
596,2020,41.713 €,Japón
597,2021,39.171 €,Japón
598,2022,37.340 €,Japón
599,1996,1.645 €,Letonia
600,1997,2.132 €,Letonia
601,1998,2.181 €,Letonia
602,1999,2.329 €,Letonia
603,2000,2.316 €,Letonia
604,2001,2.484 €,Letonia
605,2002,2.640 €,Letonia
606,2003,2.940 €,Letonia
607,2004,3.288 €,Letonia
608,2005,3.828 €,Letonia
609,2006,4.740 €,Letonia
610,2007,6.180 €,Letonia
611,2008,7.476 €,Letonia
612,2009,7.392 €,Letonia
613,2010,7.296 €,Letonia
614,2011,7.632 €,Letonia
615,2012,7.896 €,Letonia
616,2013,8.268 €,Letonia
617,2014,8.892 €,Letonia
618,2015,9.588 €,Letonia
619,2016,10.140 €,Letonia
620,2017,10.980 €,Letonia
621,2018,11.892 €,Letonia
622,2019,12.804 €,Letonia
623,2020,13.656 €,Letonia
624,2021,15.276 €,Letonia
625,2022,16.758 €,Letonia
626,1995,1.205 €,Lituania
627,1996,1.591 €,Lituania
628,1997,2.188 €,Lituania
629,1998,2.545 €,Lituania
630,1999,2.805 €,Lituania
631,2000,3.187 €,Lituania
632,2001,3.290 €,Lituania
633,2002,3.490 €,Lituania
634,2003,3.690 €,Lituania
635,2004,3.968 €,Lituania
636,2005,4.382 €,Lituania
637,2006,5.147 €,Lituania
638,2007,6.305 €,Lituania
639,2008,7.398 €,Lituania
640,2009,6.895 €,Lituania
641,2010,6.735 €,Lituania
642,2011,6.949 €,Lituania
643,2012,7.270 €,Lituania
644,2013,7.707 €,Lituania
645,2014,8.116 €,Lituania
646,2015,8.623 €,Lituania
647,2016,9.370 €,Lituania
648,2017,10.216 €,Lituania
649,2018,11.163 €,Lituania
650,2019,15.435 €,Lituania
651,2020,16.844 €,Lituania
652,2021,18.560 €,Lituania
653,2022,20.667 €,Lituania
654,2000,35.875 €,Luxemburgo
655,2001,37.745 €,Luxemburgo
656,2002,38.442 €,Luxemburgo
657,2003,39.587 €,Luxemburgo
658,2004,40.575 €,Luxemburgo
659,2005,42.067 €,Luxemburgo
660,2006,43.539 €,Luxemburgo
661,2007,45.265 €,Luxemburgo
662,2008,47.043 €,Luxemburgo
663,2009,48.183 €,Luxemburgo
664,2010,49.387 €,Luxemburgo
665,2011,50.674 €,Luxemburgo
666,2012,51.971 €,Luxemburgo
667,2013,53.630 €,Luxemburgo
668,2014,54.920 €,Luxemburgo
669,2015,55.858 €,Luxemburgo
670,2016,56.448 €,Luxemburgo
671,2017,58.238 €,Luxemburgo
672,2018,59.733 €,Luxemburgo
673,2019,60.896 €,Luxemburgo
674,2020,64.424 €,Luxemburgo
675,2021,65.517 €,Luxemburgo
676,2022,70.189 €,Luxemburgo
677,2005,14.638 €,Malta
678,2006,15.181 €,Malta
679,2007,15.535 €,Malta
680,2008,16.775 €,Malta
681,2009,17.120 €,Malta
682,2010,17.947 €,Malta
683,2011,19.705 €,Malta
684,2012,20.451 €,Malta
685,2013,21.048 €,Malta
686,2014,20.500 €,Malta
687,2015,20.943 €,Malta
688,2016,21.848 €,Malta
689,2017,22.431 €,Malta
690,2018,23.331 €,Malta
691,2019,25.069 €,Malta
692,2020,25.902 €,Malta
693,2021,23.950 €,Malta
694,2022,24.487 €,Malta
695,2000,5.564 €,México
696,2001,6.505 €,México
697,2002,6.395 €,México
698,2003,5.108 €,México
699,2004,4.703 €,México
700,2005,5.153 €,México
701,2006,5.382 €,México
702,2007,5.175 €,México
703,2008,5.017 €,México
704,2009,4.524 €,México
705,2010,5.238 €,México
706,2011,5.286 €,México
707,2012,5.634 €,México
708,2013,5.831 €,México
709,2014,5.848 €,México
710,2015,6.105 €,México
711,2016,5.407 €,México
712,2017,5.488 €,México
713,2018,5.469 €,México
714,2019,6.176 €,México
715,2020,5.642 €,México
716,2021,6.403 €,México
717,2022,7.299 €,México
718,2000,36.779 €,Noruega
719,2001,40.611 €,Noruega
720,2002,45.814 €,Noruega
721,2003,44.163 €,Noruega
722,2004,43.748 €,Noruega
723,2005,47.258 €,Noruega
724,2006,49.429 €,Noruega
725,2007,52.506 €,Noruega
726,2008,53.943 €,Noruega
727,2009,52.271 €,Noruega
728,2010,58.930 €,Noruega
729,2011,63.011 €,Noruega
730,2012,67.495 €,Noruega
731,2013,67.235 €,Noruega
732,2014,64.383 €,Noruega
733,2015,61.865 €,Noruega
734,2016,60.568 €,Noruega
735,2017,61.338 €,Noruega
736,2018,61.565 €,Noruega
737,2019,62.187 €,Noruega
738,2020,58.631 €,Noruega
739,2021,62.830 €,Noruega
740,2022,65.935 €,Noruega
741,2000,17.214 €,Nueva Zelanda
742,2001,16.339 €,Nueva Zelanda
743,2002,17.675 €,Nueva Zelanda
744,2003,19.031 €,Nueva Zelanda
745,2004,20.613 €,Nueva Zelanda
746,2005,22.400 €,Nueva Zelanda
747,2006,21.082 €,Nueva Zelanda
748,2007,23.097 €,Nueva Zelanda
749,2008,21.435 €,Nueva Zelanda
750,2009,21.090 €,Nueva Zelanda
751,2010,26.123 €,Nueva Zelanda
752,2011,28.220 €,Nueva Zelanda
753,2012,32.569 €,Nueva Zelanda
754,2013,33.068 €,Nueva Zelanda
755,2014,34.463 €,Nueva Zelanda
756,2015,35.442 €,Nueva Zelanda
757,2016,36.672 €,Nueva Zelanda
758,2017,37.556 €,Nueva Zelanda
759,2018,35.997 €,Nueva Zelanda
760,2019,37.164 €,Nueva Zelanda
761,2020,37.010 €,Nueva Zelanda
762,2021,39.439 €,Nueva Zelanda
763,2022,42.569 €,Nueva Zelanda
764,2000,31.901 €,Países Bajos
765,2001,33.900 €,Países Bajos
766,2002,35.200 €,Países Bajos
767,2003,36.600 €,Países Bajos
768,2004,37.900 €,Países Bajos
769,2005,38.700 €,Países Bajos
770,2006,40.800 €,Países Bajos
771,2007,42.000 €,Países Bajos
772,2008,43.146 €,Países Bajos
773,2009,44.412 €,Países Bajos
774,2010,45.215 €,Países Bajos
775,2011,46.287 €,Países Bajos
776,2012,46.670 €,Países Bajos
777,2013,47.950 €,Países Bajos
778,2014,48.360 €,Países Bajos
779,2015,49.540 €,Países Bajos
780,2016,50.120 €,Países Bajos
781,2017,50.850 €,Países Bajos
782,2018,51.590 €,Países Bajos
783,2019,52.970 €,Países Bajos
784,2020,54.710 €,Países Bajos
